index,dataset,method
21,samsum,kivi
113,qmsum,kivi
76,qmsum,kivi
160,samsum,kivi
93,qmsum,kivi
191,samsum,kivi
143,qmsum,kivi
57,qmsum,kivi
149,samsum,kivi
108,qmsum,kivi
130,samsum,kivi
151,samsum,kivi
159,qmsum,kivi
172,qmsum,kivi
99,samsum,kivi
87,samsum,kivi
130,qmsum,kivi
14,qmsum,kivi
121,samsum,kivi
199,qmsum,kivi
20,samsum,kivi
188,samsum,kivi
106,samsum,kivi
71,samsum,kivi
102,samsum,kivi
148,qmsum,kivi
70,qmsum,kivi
